gene_name	chrom	arm	start	end	strand	gene_id
MRPL20	chr1	p	1337288	1342693	-	ENSG00000242485.1
ANKRD65	chr1	p	1353800	1357149	-	ENSG00000235098.4
TMEM88B	chr1	p	1361508	1363167	+	ENSG00000205116.3
VWA1	chr1	p	1370241	1378262	+	ENSG00000179403.10
ATAD3C	chr1	p	1385069	1405538	+	ENSG00000215915.5
ATAD3B	chr1	p	1407143	1433228	+	ENSG00000160072.15
ATAD3A	chr1	p	1447531	1470067	+	ENSG00000197785.9
TMEM240	chr1	p	1470554	1475833	-	ENSG00000205090.4
SSU72	chr1	p	1477053	1510249	-	ENSG00000160075.10
AL645728.1	chr1	p	1510355	1511373	+	ENSG00000215014.3
C1orf233	chr1	p	1533392	1535476	-	ENSG00000228594.1
MIB2	chr1	p	1550795	1565990	+	ENSG00000197530.8
MMP23B	chr1	p	1567474	1570639	+	ENSG00000189409.8
CDK11B	chr1	p	1570603	1590473	-	ENSG00000248333.3
SLC35E2B	chr1	p	1592939	1624167	-	ENSG00000189339.7
CDK11A	chr1	p	1634169	1655766	-	ENSG00000008128.18
SLC35E2	chr1	p	1656277	1677431	-	ENSG00000215790.2
NADK	chr1	p	1682671	1711896	-	ENSG00000008130.11
GNB1	chr1	p	1716729	1822495	-	ENSG00000078369.13
CALML6	chr1	p	1846266	1848735	+	ENSG00000169885.5
TMEM52	chr1	p	1849029	1850712	-	ENSG00000178821.8
C1orf222	chr1	p	1853396	1935276	-	ENSG00000142609.13
GABRD	chr1	p	1950780	1962192	+	ENSG00000187730.6
PRKCZ	chr1	p	1981909	2116834	+	ENSG00000067606.11
C1orf86	chr1	p	2115903	2144159	-	ENSG00000162585.12
AL590822.2	chr1	p	2121237	2123179	+	ENSG00000269554.1
AL590822.1	chr1	p	2143360	2145620	-	ENSG00000203301.2
SKI	chr1	p	2160134	2241558	+	ENSG00000157933.9
MORN1	chr1	p	2252692	2323146	-	ENSG00000116151.9
AL589739.1	chr1	p	2258581	2259042	+	ENSG00000269753.1
RER1	chr1	p	2323267	2336883	+	ENSG00000157916.14
PEX10	chr1	p	2336236	2345236	-	ENSG00000157911.5
PLCH2	chr1	p	2357419	2436969	+	ENSG00000149527.13
PANK4	chr1	p	2439972	2458039	-	ENSG00000157881.9
HES5	chr1	p	2460184	2461684	-	ENSG00000197921.5
TNFRSF14	chr1	p	2487078	2496821	+	ENSG00000157873.13
FAM213B	chr1	p	2517930	2522908	+	ENSG00000157870.10
MMEL1	chr1	p	2522078	2564481	-	ENSG00000142606.11
TTC34	chr1	p	2567415	2718286	-	ENSG00000215912.7
ACTRT2	chr1	p	2938046	2939465	+	ENSG00000169717.5
PRDM16	chr1	p	2985732	3355185	+	ENSG00000142611.12
ARHGEF16	chr1	p	3370990	3397677	+	ENSG00000130762.10
MEGF6	chr1	p	3406484	3528059	-	ENSG00000162591.11
TPRG1L	chr1	p	3541566	3546691	+	ENSG00000158109.10
WRAP73	chr1	p	3547331	3569325	-	ENSG00000116213.11
TP73	chr1	p	3569084	3652765	+	ENSG00000078900.10
CCDC27	chr1	p	3668962	3688209	+	ENSG00000162592.4
SMIM1	chr1	p	3689352	3692546	+	ENSG00000235169.3
LRRC47	chr1	p	3696784	3713068	-	ENSG00000130764.5
CEP104	chr1	p	3728645	3773778	-	ENSG00000116198.8
DFFB	chr1	p	3773845	3801993	+	ENSG00000169598.11
C1orf174	chr1	p	3805689	3816857	-	ENSG00000198912.6
AJAP1	chr1	p	4714792	4852594	+	ENSG00000196581.6
NPHP4	chr1	p	5922871	6052533	-	ENSG00000131697.13
KCNAB2	chr1	p	6051526	6161253	+	ENSG00000069424.10
AL035406.1	chr1	p	6100630	6101399	-	ENSG00000268332.1
CHD5	chr1	p	6161853	6240183	-	ENSG00000116254.13
RPL22	chr1	p	6241329	6269449	-	ENSG00000116251.5
RNF207	chr1	p	6265535	6281359	+	ENSG00000158286.8
ICMT	chr1	p	6281253	6296032	-	ENSG00000116237.11
HES3	chr1	p	6304252	6305638	+	ENSG00000173673.7
GPR153	chr1	p	6307406	6321035	-	ENSG00000158292.6
ACOT7	chr1	p	6324329	6454451	-	ENSG00000097021.15
HES2	chr1	p	6472478	6484730	-	ENSG00000069812.7
ESPN	chr1	p	6484848	6521430	+	ENSG00000187017.10
TNFRSF25	chr1	p	6521211	6526255	-	ENSG00000215788.5
PLEKHG5	chr1	p	6526152	6580121	-	ENSG00000171680.16
NOL9	chr1	p	6581407	6614595	-	ENSG00000162408.10
TAS1R1	chr1	p	6615241	6639817	+	ENSG00000173662.15
ZBTB48	chr1	p	6640061	6649340	+	ENSG00000204859.7
KLHL21	chr1	p	6650784	6674667	-	ENSG00000162413.12
PHF13	chr1	p	6673745	6684093	+	ENSG00000116273.5
THAP3	chr1	p	6684926	6695646	+	ENSG00000041988.11
DNAJC11	chr1	p	6694228	6761984	-	ENSG00000007923.11
CAMTA1	chr1	p	6845384	7829766	+	ENSG00000171735.14
VAMP3	chr1	p	7831329	7841492	+	ENSG00000049245.8
PER3	chr1	p	7844380	7905237	+	ENSG00000049246.10
UTS2	chr1	p	7903143	7913572	-	ENSG00000049247.9
TNFRSF9	chr1	p	7979907	8000926	-	ENSG00000049249.4
PARK7	chr1	p	8014351	8045565	+	ENSG00000116288.8
ERRFI1	chr1	p	8064464	8086368	-	ENSG00000116285.8
SLC45A1	chr1	p	8377886	8404227	+	ENSG00000162426.10
RERE	chr1	p	8412457	8877702	-	ENSG00000142599.13
ENO1	chr1	p	8921061	8939308	-	ENSG00000074800.9
CA6	chr1	p	9005926	9035151	+	ENSG00000131686.10
SLC2A7	chr1	p	9063359	9086404	-	ENSG00000197241.3
SLC2A5	chr1	p	9095166	9148537	-	ENSG00000142583.13
GPR157	chr1	p	9160364	9189229	-	ENSG00000180758.10
H6PD	chr1	p	9294834	9331396	+	ENSG00000049239.8
SPSB1	chr1	p	9352939	9429591	+	ENSG00000171621.9
SLC25A33	chr1	p	9599541	9645237	+	ENSG00000171612.6
TMEM201	chr1	p	9648932	9674935	+	ENSG00000188807.8
PIK3CD	chr1	p	9711790	9789172	+	ENSG00000171608.11
C1orf200	chr1	p	9712668	9714644	-	ENSG00000179840.5
CLSTN1	chr1	p	9789084	9884584	-	ENSG00000171603.12
CTNNBIP1	chr1	p	9908334	9970394	-	ENSG00000178585.10
LZIC	chr1	p	9982173	10003465	-	ENSG00000162441.7
NMNAT1	chr1	p	10003486	10045559	+	ENSG00000173614.9
RBP7	chr1	p	10057264	10076078	+	ENSG00000162444.11
UBE4B	chr1	p	10092890	10241297	+	ENSG00000130939.14
KIF1B	chr1	p	10270863	10441661	+	ENSG00000054523.12
PGD	chr1	p	10458649	10480201	+	ENSG00000142657.16
APITD1	chr1	p	10490159	10512210	+	ENSG00000175279.17
APITD1-CORT	chr1	p	10490159	10512210	+	ENSG00000251503.3
CORT	chr1	p	10509776	10511959	+	ENSG00000241563.2
DFFA	chr1	p	10516579	10532583	-	ENSG00000160049.7
PEX14	chr1	p	10532345	10690815	+	ENSG00000142655.8
CASZ1	chr1	p	10696661	10856707	-	ENSG00000130940.10
C1orf127	chr1	p	11006528	11042094	-	ENSG00000175262.10
TARDBP	chr1	p	11072414	11085796	+	ENSG00000120948.11
MASP2	chr1	p	11086580	11107290	-	ENSG00000009724.12
SRM	chr1	p	11114641	11120081	-	ENSG00000116649.5
EXOSC10	chr1	p	11126675	11159938	-	ENSG00000171824.9
MTOR	chr1	p	11166592	11322564	-	ENSG00000198793.8
ANGPTL7	chr1	p	11249398	11256038	+	ENSG00000171819.4
UBIAD1	chr1	p	11333263	11356106	+	ENSG00000120942.9
PTCHD2	chr1	p	11539223	11597641	+	ENSG00000204624.6
FBXO2	chr1	p	11708424	11715842	-	ENSG00000116661.9
FBXO44	chr1	p	11714432	11723384	+	ENSG00000132879.9
FBXO6	chr1	p	11724181	11734411	+	ENSG00000116663.6
MAD2L2	chr1	p	11734537	11751707	-	ENSG00000116670.10
DRAXIN	chr1	p	11751786	11785914	+	ENSG00000162490.6
AGTRAP	chr1	p	11796141	11814859	+	ENSG00000177674.11
C1orf167	chr1	p	11821844	11849642	+	ENSG00000215910.3
MTHFR	chr1	p	11845780	11866977	-	ENSG00000177000.6
CLCN6	chr1	p	11866207	11903201	+	ENSG00000011021.17
NPPA	chr1	p	11905766	11908402	-	ENSG00000175206.6
NPPB	chr1	p	11917521	11918988	-	ENSG00000120937.8
KIAA2013	chr1	p	11979648	11986485	-	ENSG00000116685.11
PLOD1	chr1	p	11994262	12035595	+	ENSG00000083444.12
MFN2	chr1	p	12040238	12073571	+	ENSG00000116688.12
MIIP	chr1	p	12079523	12092102	+	ENSG00000116691.6
TNFRSF8	chr1	p	12123434	12204264	+	ENSG00000120949.10
TNFRSF1B	chr1	p	12227060	12269285	+	ENSG00000028137.12
VPS13D	chr1	p	12290124	12572099	+	ENSG00000048707.9
DHRS3	chr1	p	12627939	12677737	-	ENSG00000162496.4
AADACL4	chr1	p	12704566	12727097	+	ENSG00000204518.2
AADACL3	chr1	p	12776118	12788726	+	ENSG00000188984.7
C1orf158	chr1	p	12806163	12823847	+	ENSG00000157330.5
PRAMEF12	chr1	p	12834984	12838049	+	ENSG00000116726.4
PRAMEF1	chr1	p	12851546	12856777	+	ENSG00000116721.9
PRAMEF11	chr1	p	12884468	12891264	-	ENSG00000204513.5
HNRNPCL1	chr1	p	12907261	12908578	-	ENSG00000179172.7
PRAMEF2	chr1	p	12916941	12921764	+	ENSG00000120952.4
PRAMEF4	chr1	p	12939045	12946025	-	ENSG00000243073.3
PRAMEF10	chr1	p	12952727	12958101	-	ENSG00000187545.5
PRAMEF7	chr1	p	12976450	12980569	+	ENSG00000204510.1
PRAMEF6	chr1	p	12998181	13117751	-	ENSG00000232423.3
PRAMEF22	chr1	p	13035543	13038381	+	ENSG00000204508.3
WI2-3308P17.2	chr1	p	13052394	13052998	-	ENSG00000239810.2
PRAMEF26	chr1	p	13216356	13219581	-	ENSG00000229571.2
PRAMEF3	chr1	p	13328196	13331692	-	ENSG00000204503.5
PRAMEF5	chr1	p	13359819	13369057	+	ENSG00000204502.2
PRAMEF8	chr1	p	13386646	13390765	-	ENSG00000182330.6
PRAMEF9	chr1	p	13421176	13428191	+	ENSG00000204501.2
PRAMEF13	chr1	p	13447414	13452656	-	ENSG00000204495.3
PRAMEF18	chr1	p	13474689	13477522	-	ENSG00000204491.2
PRAMEF16	chr1	p	13495254	13498260	+	ENSG00000204488.3
PRAMEF21	chr1	p	13516066	13526943	+	ENSG00000204486.3
PRAMEF15	chr1	p	13641973	13648988	+	ENSG00000157358.7
PRAMEF14	chr1	p	13668269	13673511	-	ENSG00000204481.6
PRAMEF19	chr1	p	13694889	13698405	-	ENSG00000204480.6
PRAMEF17	chr1	p	13716092	13719089	+	ENSG00000204479.4
PRAMEF20	chr1	p	13736907	13747803	+	ENSG00000204478.5
LRRC38	chr1	p	13801445	13840543	-	ENSG00000162494.5
PDPN	chr1	p	13909960	13944452	+	ENSG00000162493.12
PRDM2	chr1	p	14026693	14151574	+	ENSG00000116731.18
KAZN	chr1	p	14925200	15444539	+	ENSG00000189337.11
TMEM51	chr1	p	15479028	15546976	+	ENSG00000171729.9
C1orf195	chr1	p	15490840	15497813	-	ENSG00000204464.3
FHAD1	chr1	p	15573768	15726779	+	ENSG00000142621.15
EFHD2	chr1	p	15736391	15756839	+	ENSG00000142634.8
CTRC	chr1	p	15764935	15775737	+	ENSG00000162438.7
CELA2A	chr1	p	15783223	15798586	+	ENSG00000142615.7
CELA2B	chr1	p	15792404	15817895	+	ENSG00000215704.5
CASP9	chr1	p	15817327	15853029	-	ENSG00000132906.13
DNAJC16	chr1	p	15853308	15918874	+	ENSG00000116138.8
AGMAT	chr1	p	15898848	15911605	-	ENSG00000116771.5
DDI2	chr1	p	15943995	15995539	+	ENSG00000197312.7
RSC1A1	chr1	p	15986364	15988217	+	ENSG00000215695.1
PLEKHM2	chr1	p	16010827	16061264	+	ENSG00000116786.7
SLC25A34	chr1	p	16062900	16067891	+	ENSG00000162461.7
TMEM82	chr1	p	16068917	16074477	+	ENSG00000162460.6
FBLIM1	chr1	p	16083102	16113089	+	ENSG00000162458.8
SPEN	chr1	p	16174359	16266955	+	ENSG00000065526.6
ZBTB17	chr1	p	16268364	16302627	-	ENSG00000116809.7
C1orf64	chr1	p	16330731	16335302	+	ENSG00000183888.4
HSPB7	chr1	p	16340523	16346089	-	ENSG00000173641.13
CLCNKA	chr1	p	16345370	16360545	+	ENSG00000186510.7
CLCNKB	chr1	p	16370272	16383803	+	ENSG00000184908.13
FAM131C	chr1	p	16384264	16400127	-	ENSG00000185519.8
EPHA2	chr1	p	16450832	16482582	-	ENSG00000142627.9
ARHGEF19	chr1	p	16524349	16539104	-	ENSG00000142632.12
C1orf134	chr1	p	16555368	16556038	-	ENSG00000204377.3
RSG1	chr1	p	16558195	16563657	-	ENSG00000132881.7
FBXO42	chr1	p	16573334	16678949	-	ENSG00000037637.6
SZRD1	chr1	p	16679070	16724640	+	ENSG00000055070.12
SPATA21	chr1	p	16713612	16763919	-	ENSG00000187144.7
NECAP2	chr1	p	16767167	16786573	+	ENSG00000157191.15
AL355149.2	chr1	p	16865561	16866070	+	ENSG00000268674.1
NBPF1	chr1	p	16888814	16940057	-	ENSG00000219481.6
AL137798.1	chr1	p	16999498	17000007	+	ENSG00000237847.2
AL021920.2	chr1	p	17060447	17060956	-	ENSG00000268991.1
CROCC	chr1	p	17066768	17299474	+	ENSG00000058453.12
MFAP2	chr1	p	17300997	17307330	-	ENSG00000117122.9
ATP13A2	chr1	p	17312453	17338423	-	ENSG00000159363.13
SDHB	chr1	p	17345217	17380665	-	ENSG00000117118.5
PADI2	chr1	p	17393256	17445948	-	ENSG00000117115.8
PADI1	chr1	p	17531621	17572500	+	ENSG00000142623.8
PADI3	chr1	p	17575593	17610728	+	ENSG00000142619.4
PADI4	chr1	p	17634690	17690499	+	ENSG00000159339.9
AC004824.2	chr1	p	17655507	17676070	-	ENSG00000269468.1
RCC2	chr1	p	17733256	17766220	-	ENSG00000179051.9
ARHGEF10L	chr1	p	17866330	18024369	+	ENSG00000074964.12
ACTL8	chr1	p	18081808	18153558	+	ENSG00000117148.6
IGSF21	chr1	p	18434240	18704977	+	ENSG00000117154.7
KLHDC7A	chr1	p	18807424	18812478	+	ENSG00000179023.7
PAX7	chr1	p	18957500	19075360	+	ENSG00000009709.7
TAS1R2	chr1	p	19166093	19186176	-	ENSG00000179002.5
RP13-279N23.2	chr1	p	19175767	19247615	-	ENSG00000255275.3
ALDH4A1	chr1	p	19197926	19229275	-	ENSG00000159423.12
IFFO2	chr1	p	19230775	19283180	-	ENSG00000169991.6
UBR4	chr1	p	19401000	19536770	-	ENSG00000127481.10
EMC1	chr1	p	19542158	19578046	-	ENSG00000127463.9
MRTO4	chr1	p	19578033	19586622	+	ENSG00000053372.4
AKR7A3	chr1	p	19609052	19615744	-	ENSG00000162482.4
AKR7A2	chr1	p	19630459	19638640	-	ENSG00000053371.8
PQLC2	chr1	p	19638820	19655794	+	ENSG00000040487.8
CAPZB	chr1	p	19665267	19812066	-	ENSG00000077549.13
MINOS1-NBL1	chr1	p	19923473	19984549	+	ENSG00000270136.1
MINOS1	chr1	p	19923477	19956314	+	ENSG00000173436.9
NBL1	chr1	p	19967048	19984945	+	ENSG00000158747.9
HTR6	chr1	p	19991780	20006055	+	ENSG00000158748.3
TMCO4	chr1	p	20008706	20126438	-	ENSG00000162542.9
RNF186	chr1	p	20140523	20141771	-	ENSG00000178828.5
OTUD3	chr1	p	20209006	20239438	+	ENSG00000169914.5
PLA2G2E	chr1	p	20246502	20250110	-	ENSG00000188784.4
PLA2G2A	chr1	p	20301925	20306932	-	ENSG00000188257.6
PLA2G5	chr1	p	20354672	20417683	+	ENSG00000127472.6
PLA2G2D	chr1	p	20438432	20446050	-	ENSG00000117215.10
PLA2G2F	chr1	p	20465819	20476879	+	ENSG00000158786.4
PLA2G2C	chr1	p	20487746	20503917	-	ENSG00000187980.6
UBXN10	chr1	p	20512578	20522541	+	ENSG00000162543.5
VWA5B1	chr1	p	20617412	20681387	+	ENSG00000158816.11
CAMK2N1	chr1	p	20808884	20812713	-	ENSG00000162545.5
MUL1	chr1	p	20825943	20834654	-	ENSG00000090432.5
FAM43B	chr1	p	20878932	20881512	+	ENSG00000183114.6
CDA	chr1	p	20915441	20945401	+	ENSG00000158825.5
PINK1	chr1	p	20959948	20978004	+	ENSG00000158828.5
DDOST	chr1	p	20978270	20988000	-	ENSG00000244038.5
KIF17	chr1	p	20990507	21044510	-	ENSG00000117245.8
SH2D5	chr1	p	21046225	21059330	-	ENSG00000189410.7
HP1BP3	chr1	p	21069154	21113816	-	ENSG00000127483.13
EIF4G3	chr1	p	21132963	21503377	-	ENSG00000075151.15
ECE1	chr1	p	21543740	21671997	-	ENSG00000117298.10
NBPF3	chr1	p	21766621	21811498	+	ENSG00000142794.14
ALPL	chr1	p	21835858	21904905	+	ENSG00000162551.9
RAP1GAP	chr1	p	21922708	21995801	-	ENSG00000076864.15
USP48	chr1	p	22004791	22110099	-	ENSG00000090686.11
LDLRAD2	chr1	p	22138758	22151714	+	ENSG00000187942.7
HSPG2	chr1	p	22148738	22263790	-	ENSG00000142798.12
CELA3B	chr1	p	22303514	22325135	+	ENSG00000219073.3
CELA3A	chr1	p	22328149	22339032	+	ENSG00000142789.15
CDC42	chr1	p	22379120	22419437	+	ENSG00000070831.11
WNT4	chr1	p	22443798	22470462	-	ENSG00000162552.10
ZBTB40	chr1	p	22778344	22857650	+	ENSG00000184677.12
EPHA8	chr1	p	22890057	22930087	+	ENSG00000070886.6
C1QA	chr1	p	22962999	22966101	+	ENSG00000173372.12
C1QC	chr1	p	22970123	22974603	+	ENSG00000159189.7
C1QB	chr1	p	22979255	22988031	+	ENSG00000173369.11
EPHB2	chr1	p	23037332	23241818	+	ENSG00000133216.12
LACTBL1	chr1	p	23279536	23291831	-	ENSG00000215906.4
C1orf234	chr1	p	23337327	23342343	-	ENSG00000227868.2
KDM1A	chr1	p	23345941	23410182	+	ENSG00000004487.11
LUZP1	chr1	p	23410516	23504301	-	ENSG00000169641.9
HTR1D	chr1	p	23516993	23521222	-	ENSG00000179546.3
HNRNPR	chr1	p	23630264	23670829	-	ENSG00000125944.14
ZNF436	chr1	p	23685941	23695935	-	ENSG00000125945.10
C1orf213	chr1	p	23695490	23698332	+	ENSG00000249087.3
TCEA3	chr1	p	23707554	23751233	-	ENSG00000204219.5
ASAP3	chr1	p	23755056	23811061	-	ENSG00000088280.14
E2F2	chr1	p	23832922	23857712	-	ENSG00000007968.6
ID3	chr1	p	23884409	23886285	-	ENSG00000117318.8
MDS2	chr1	p	23907985	23967058	+	ENSG00000197880.4
RPL11	chr1	p	24018269	24022915	+	ENSG00000142676.8
TCEB3	chr1	p	24069645	24088549	+	ENSG00000011007.8
PITHD1	chr1	p	24104895	24114722	+	ENSG00000057757.5
LYPLA2	chr1	p	24117460	24122029	+	ENSG00000011009.6
GALE	chr1	p	24122089	24127271	-	ENSG00000117308.10
HMGCL	chr1	p	24128375	24165110	-	ENSG00000117305.10
FUCA1	chr1	p	24171567	24194784	-	ENSG00000179163.11
CNR2	chr1	p	24197016	24285549	-	ENSG00000188822.6
PNRC2	chr1	p	24285599	24289952	+	ENSG00000189266.7
SRSF10	chr1	p	24291294	24307417	-	ENSG00000188529.10
MYOM3	chr1	p	24382525	24438665	-	ENSG00000142661.14
IL22RA1	chr1	p	24446261	24469611	-	ENSG00000142677.3
IFNLR1	chr1	p	24480647	24514449	-	ENSG00000185436.7
GRHL3	chr1	p	24645812	24690972	+	ENSG00000158055.11
STPG1	chr1	p	24683489	24743424	-	ENSG00000001460.13
NIPAL3	chr1	p	24742284	24799466	+	ENSG00000001461.12
RCAN3	chr1	p	24829387	24867530	+	ENSG00000117602.7
NCMAP	chr1	p	24882602	24935819	+	ENSG00000184454.6
SRRM1	chr1	p	24958207	24999758	+	ENSG00000133226.12
CLIC4	chr1	p	25071848	25170815	+	ENSG00000169504.10
RUNX3	chr1	p	25226002	25291612	-	ENSG00000020633.14
SYF2	chr1	p	25549170	25558993	-	ENSG00000117614.5
C1orf63	chr1	p	25568728	25664704	-	ENSG00000117616.13
RHD	chr1	p	25598884	25656936	+	ENSG00000187010.14
TMEM50A	chr1	p	25664408	25688852	+	ENSG00000183726.6
RHCE	chr1	p	25688740	25756683	-	ENSG00000188672.12
TMEM57	chr1	p	25757388	25826700	+	ENSG00000204178.5
LDLRAP1	chr1	p	25870071	25895377	+	ENSG00000157978.7
MAN1C1	chr1	p	25943959	26112698	+	ENSG00000117643.10
SEPN1	chr1	p	26126667	26144713	+	ENSG00000162430.12
RP1-317E23.6	chr1	p	26137961	26150235	+	ENSG00000255054.3
MTFR1L	chr1	p	26145131	26159432	+	ENSG00000117640.13
AL020996.1	chr1	p	26145212	26147288	-	ENSG00000223474.2
AUNIP	chr1	p	26158414	26185903	-	ENSG00000127423.6
PAQR7	chr1	p	26187701	26197744	-	ENSG00000182749.5
STMN1	chr1	p	26210672	26233482	-	ENSG00000117632.16
PAFAH2	chr1	p	26286258	26324648	-	ENSG00000158006.9
EXTL1	chr1	p	26346375	26362955	+	ENSG00000158008.5
SLC30A2	chr1	p	26363743	26372624	-	ENSG00000158014.10
TRIM63	chr1	p	26377795	26394927	-	ENSG00000158022.6
PDIK1L	chr1	p	26437664	26452034	+	ENSG00000175087.5
FAM110D	chr1	p	26485511	26489119	+	ENSG00000197245.4
ZNF593	chr1	p	26496362	26498551	+	ENSG00000142684.7
CNKSR1	chr1	p	26503894	26516377	+	ENSG00000142675.13
CATSPER4	chr1	p	26517052	26529459	+	ENSG00000188782.3
CEP85	chr1	p	26560691	26605299	+	ENSG00000130695.9
SH3BGRL3	chr1	p	26605667	26608007	+	ENSG00000142669.9
UBXN11	chr1	p	26607819	26644854	-	ENSG00000158062.16
CD52	chr1	p	26644448	26647014	+	ENSG00000169442.4
AIM1L	chr1	p	26648350	26680621	-	ENSG00000176092.9
ZNF683	chr1	p	26688125	26701013	-	ENSG00000176083.13
LIN28A	chr1	p	26737269	26756213	+	ENSG00000131914.6
DHDDS	chr1	p	26758773	26797785	+	ENSG00000117682.12
HMGN2	chr1	p	26798941	26802463	+	ENSG00000198830.6
RPS6KA1	chr1	p	26856252	26901521	+	ENSG00000117676.9
ARID1A	chr1	p	27022524	27108595	+	ENSG00000117713.13
PIGV	chr1	p	27113963	27124889	+	ENSG00000060642.6
ZDHHC18	chr1	p	27153201	27184093	+	ENSG00000204160.7
SFN	chr1	p	27189633	27190947	+	ENSG00000175793.10
GPN2	chr1	p	27202624	27216788	-	ENSG00000142751.10
GPATCH3	chr1	p	27216979	27226957	-	ENSG00000198746.8
NUDC	chr1	p	27226729	27273353	+	ENSG00000090273.9
NR0B2	chr1	p	27237980	27240457	-	ENSG00000131910.4
C1orf172	chr1	p	27276053	27286897	-	ENSG00000175707.7
TRNP1	chr1	p	27320198	27327389	+	ENSG00000253368.3
FAM46B	chr1	p	27331511	27339327	-	ENSG00000158246.7
SLC9A1	chr1	p	27425306	27493472	-	ENSG00000090020.6
WDTC1	chr1	p	27561007	27635110	+	ENSG00000142784.11
TMEM222	chr1	p	27648651	27662891	+	ENSG00000186501.10
SYTL1	chr1	p	27668513	27680421	+	ENSG00000142765.13
MAP3K6	chr1	p	27681675	27693383	-	ENSG00000142733.10
FCN3	chr1	p	27695603	27701315	-	ENSG00000142748.8
CD164L2	chr1	p	27705666	27709870	-	ENSG00000174950.6
GPR3	chr1	p	27719148	27722318	+	ENSG00000181773.6
WASF2	chr1	p	27730730	27816669	-	ENSG00000158195.6
AHDC1	chr1	p	27860546	27930942	-	ENSG00000126705.9
FGR	chr1	p	27938575	27961788	-	ENSG00000000938.8
IFI6	chr1	p	27992572	27998729	-	ENSG00000126709.10
FAM76A	chr1	p	28052490	28089633	+	ENSG00000009780.11
STX12	chr1	p	28099694	28150963	+	ENSG00000117758.9
PPP1R8	chr1	p	28157289	28178187	+	ENSG00000117751.13
AL109927.1	chr1	p	28177085	28177255	-	ENSG00000268552.1
THEMIS2	chr1	p	28199055	28213196	+	ENSG00000130775.11
RPA2	chr1	p	28218035	28241257	-	ENSG00000117748.5
SMPDL3B	chr1	p	28261504	28285668	+	ENSG00000130768.10
XKR8	chr1	p	28285973	28294607	+	ENSG00000158156.7
EYA3	chr1	p	28296855	28415207	-	ENSG00000158161.11
PTAFR	chr1	p	28473677	28520447	-	ENSG00000169403.7
DNAJC8	chr1	p	28525967	28559536	-	ENSG00000126698.6
AL353354.1	chr1	p	28527013	28527152	-	ENSG00000215902.1
AL353354.2	chr1	p	28527070	28527419	+	ENSG00000269804.1
ATPIF1	chr1	p	28562620	28573417	+	ENSG00000130770.13
SESN2	chr1	p	28586038	28609002	+	ENSG00000130766.4
MED18	chr1	p	28655513	28662476	+	ENSG00000130772.9
PHACTR4	chr1	p	28696114	28826881	+	ENSG00000204138.8
RCC1	chr1	p	28832455	28865812	+	ENSG00000180198.11
TRNAU1AP	chr1	p	28879597	28905051	+	ENSG00000180098.5
TAF12	chr1	p	28915835	28969597	-	ENSG00000120656.7
RAB42	chr1	p	28918712	28921955	+	ENSG00000188060.6
GMEB1	chr1	p	28995244	29045865	+	ENSG00000162419.8
YTHDF2	chr1	p	29063133	29096287	+	ENSG00000198492.10
